AssetName,BlockGroupName,Station_Code__c
zBlock_Abbey Wood Stn Abbey Wood,zSet_QA Questions,ABW
zBlock_Abbey Wood Stn Abbey Wood,zSet_Station,ABW
zBlock_Abbey Wood Stn Access Route(10),zSet_Access Route,ABW
zBlock_Abbey Wood Stn Access Route(13),zSet_Access Route,ABW
zBlock_Abbey Wood Stn Access Route(16),zSet_Access Route,ABW
zBlock_Abbey Wood Stn Access Route(2),zSet_Access Route,ABW
zBlock_Abbey Wood Stn Access Route(23),zSet_Access Route,ABW
zBlock_Abbey Wood Stn Access Route(25),zSet_Access Route,ABW
zBlock_Abbey Wood Stn Access Route(27),zSet_Access Route,ABW
zBlock_Abbey Wood Stn Access Route(29),zSet_Access Route,ABW
zBlock_Abbey Wood Stn Access Route(31),zSet_Access Route,ABW
zBlock_Abbey Wood Stn Access Route(31),zSet_Steps & Stairs,ABW
zBlock_Abbey Wood Stn Access Route(7),zSet_Access Route,ABW
zBlock_Abbey Wood Stn Baby changing room(37),zSet_Sanitary facilities,ABW
zBlock_Abbey Wood Stn Bus stop(12),zSet_Bus Stop,ABW
zBlock_Abbey Wood Stn Bus stop(26),zSet_Bus Stop,ABW
zBlock_Abbey Wood Stn Bus stop(28),zSet_Bus Stop,ABW
zBlock_Abbey Wood Stn Car Parking - Disabled(1),zSet_Access Parking,ABW
zBlock_Abbey Wood Stn Car Parking - Disabled(6),zSet_Access Parking,ABW
zBlock_Abbey Wood Stn Car Parking - Disabled(9),zSet_Access Parking,ABW
zBlock_Abbey Wood Stn Concourse(33),zSet_Concourse,ABW
zBlock_Abbey Wood Stn Concourse(33),zSet_Gateline,ABW
zBlock_Abbey Wood Stn Concourse(33),zSet_Ticket - Service-Retail Vending,ABW
zBlock_Abbey Wood Stn Concourse(34),zSet_Concourse,ABW
zBlock_Abbey Wood Stn Concourse(34),zSet_Gateline,ABW
zBlock_Abbey Wood Stn Concourse(34),zSet_Ticket - Service-Retail Vending,ABW
zBlock_Abbey Wood Stn Cycle parking(30),zSet_Cycle Parking,ABW
zBlock_Abbey Wood Stn Cycle racks(11),zSet_Cycle Parking,ABW
zBlock_Abbey Wood Stn Cycle racks(14),zSet_Cycle Parking,ABW
zBlock_Abbey Wood Stn Cycle racks(24),zSet_Cycle Parking,ABW
zBlock_Abbey Wood Stn Escalator(47),zSet_Escalators & Moving Walkways,ABW
zBlock_Abbey Wood Stn Escalator(53),zSet_Escalators & Moving Walkways,ABW
zBlock_Abbey Wood Stn Footbridge - Covered(46),zSet_Bridge Decks,ABW
zBlock_Abbey Wood Stn Footbridge - Covered(46),zSet_Footbridge Covered,ABW
zBlock_Abbey Wood Stn Footbridge - Open(49),zSet_Bridge Decks,ABW
zBlock_Abbey Wood Stn Footbridge - Open(49),zSet_Footbridge Covered,ABW
zBlock_Abbey Wood Stn Footbridge Stairs(45),zSet_Steps & Stairs,ABW
zBlock_Abbey Wood Stn Footbridge Stairs(48),zSet_Steps & Stairs,ABW
zBlock_Abbey Wood Stn Footbridge Stairs(50),zSet_Steps & Stairs,ABW
zBlock_Abbey Wood Stn Footbridge Stairs(54),zSet_Steps & Stairs,ABW
zBlock_Abbey Wood Stn Lift(18),zSet_Lifts,ABW
zBlock_Abbey Wood Stn Lift(19),zSet_Lifts,ABW
zBlock_Abbey Wood Stn Lift(35),zSet_Lifts,ABW
zBlock_Abbey Wood Stn Lift(36),zSet_Lifts,ABW
zBlock_Abbey Wood Stn Lift(4),zSet_Lifts,ABW
